SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category
105514,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 37 - 3 Mths Plus Plan B - Retail Dividend Option,,,Close Ended Schemes,Income
105515,Invesco Mutual Fund,Religare FMP-3M-Sr-VI-Institutional-Growth,,,Close Ended Schemes,Income
105516,Invesco Mutual Fund,Religare FMP-3M-Sr-VI-Retail-Dividend Reinvestment,,,Close Ended Schemes,Income
105517,Invesco Mutual Fund,Religare FMP-3M-Sr-VI-Retail-Growth,,,Close Ended Schemes,Income
105518,Invesco Mutual Fund,Religare FMP-3M-Sr-VI-Institutional-Dividend Reinvestment,,,Close Ended Schemes,Income
105519,UTI Mutual Fund,UTI Fixed Maturity Plan Quarterly April 2007 Series I - Dividend Option,,,Close Ended Schemes,Income
105520,UTI Mutual Fund,UTI Fixed Maturity Plan Quarterly April 2007 Series I - Growth Option,,,Close Ended Schemes,Income
105521,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 38 - 3 Mths Plan A - Retail Dividend Option,,,Close Ended Schemes,Income
105522,ICICI Prudential Mutual Fund,ICICI Prudential FMP series 38 - 3 Mths Plan A - Retail Growth Option,,,Close Ended Schemes,Income
105523,Franklin Templeton Mutual Fund,Franklin Templeton Capital Protection Oriented Fund - 3 Years Plan - Growth,,,Close Ended Schemes,Income
105524,Franklin Templeton Mutual Fund,Franklin Templeton Capital Protection Oriented Fund - 3 Years Plan - Dividend,,,Close Ended Schemes,Income
105525,Franklin Templeton Mutual Fund,Franklin Templeton Capital Protection Oriented Fund - 5 Years Plan - Growth,,,Close Ended Schemes,Income
105526,Franklin Templeton Mutual Fund,Franklin Templeton Capital Protection Oriented Fund - 5 Years Plan - Dividend,,,Close Ended Schemes,Income
105527,Kotak Mahindra Mutual Fund,Kotak FMP 3M Series 15 - Dividend,,,Close Ended Schemes,Income
105528,Kotak Mahindra Mutual Fund,Kotak FMP 3M Series 15 - Growth,,,Close Ended Schemes,Income
105529,Kotak Mahindra Mutual Fund,Kotak FMP 3M Series 16 - Growth,,,Close Ended Schemes,Income
105530,Kotak Mahindra Mutual Fund,Kotak FMP 3M Series 16 - Dividend,,,Close Ended Schemes,Income
105531,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 - Quarterly Plan A - Growth Option,,,Close Ended Schemes,Income
105532,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 - Quarterly Plan A - Monthly Dividend Option,,,Close Ended Schemes,Income
105533,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 - Quarterly Plan A - Dividend on Maturity Option,,,Close Ended Schemes,Income
105534,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 - Quarterly Plan B - Growth Option,,,Close Ended Schemes,Income
105535,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 - Quarterly Plan B - Dividend on Maturity Option,,,Close Ended Schemes,Income
105536,ABN  AMRO Mutual Fund,ABN AMRO Fixed Term Plan - Series 7 - Quarterly Plan B - Monthly Dividend Option,,,Close Ended Schemes,Income
105537,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - QS 9 PLAN A DIVIDEND,,,Close Ended Schemes,Income
105538,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - QS 9 PLAN A GROWTH,,,Close Ended Schemes,Income
105539,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - YS 8 PLAN A GROWTH,,,Close Ended Schemes,Income
105540,Standard Chartered Mutual Fund,Standard Chartered Fixed Maturity Plan - YS 8 PLAN A DIVIDEND,,,Close Ended Schemes,Income
105541,SBI Mutual Fund,SBI DEBT FUND SERIES - 60 DAYS - 11 (17/04/07) - DIVIDEND,,,Close Ended Schemes,Income
105542,SBI Mutual Fund,SBI DEBT FUND SERIES - 60 DAYS - 11 (17/04/07) - GROWTH,,,Close Ended Schemes,Income
105543,HDFC Mutual Fund,HDFC Ultra Short to Short Term Fund - Regular Plan - Monthly IDCW,INF179K01459,INF179K01467,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105544,HDFC Mutual Fund,HDFC Low Duration Fund- Wholesale- Growth,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105545,HDFC Mutual Fund,HDFC Low Duration Fund- Wholesale Weekly Dividend,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105546,HDFC Mutual Fund,HDFC Low Duration Fund- Wholesale Monthly Dividend,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105547,HDFC Mutual Fund,HDFC Low Duration Fund- Wholesale Daily Dividend,,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105548,HDFC Mutual Fund,HDFC Ultra Short to Short Term Fund - Regular Plan - Daily IDCW,,INF179K01434,Open Ended Schemes,Income/Debt Oriented Schemes - Ultra Short to Short Term Fund
105549,Sundaram Mutual Fund,Sundaram Low Duration Fund Retail Plan - Weekly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105550,Sundaram Mutual Fund,Sundaram Low Duration Fund Retail Plan - Fortnightly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105551,Sundaram Mutual Fund,Sundaram Low Duration Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105552,Sundaram Mutual Fund,Sundaram Low Duration Fund Retail Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105553,Sundaram Mutual Fund,Sundaram Low Duration Fund Retail Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105554,Sundaram Mutual Fund,Sundaram Low Duration Fund Institutional Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),,,Open Ended Schemes,Debt Scheme - Low Duration Fund
105555,Sundaram Mutual Fund,Sundaram Low Duration Fund   Inst Qtrly   Dividend,,,143611;-;INF192K01DU7;JM Low Duration Fund,Direct
