SchemeCode,AMC,SchemeName,ISIN,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
100027,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,,Open Ended,Income,Income,Other,IDCW,Annual
100028,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,,Open Ended,Income,Income,Other,IDCW,
100029,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Growth,,Open Ended,Income,Income,Other,Growth,
100030,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,,Open Ended,Income,Income,Other,IDCW,Annual
100031,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,,Open Ended,Income,Income,Other,IDCW,
100032,Standard Chartered Mutual Fund,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,,Open Ended,Income,Income,Other,Growth,
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund,INF209K01165,Open Ended,Equity,Large & Mid Cap Fund,Other,Other,
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund,INF209K01157,Open Ended,Equity,Large & Mid Cap Fund,Other,Other,
100035,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Freedom Fund-Plan A (Dividend),,Open Ended,Income,Income,Other,IDCW,
100036,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Freedom Fund-Plan B (Growth),,Open Ended,Income,Income,Other,Growth,
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund,INF209K01587,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Medium to Long Term Fund,INF209K01579,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100039,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Growth),,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Institutional,Growth,
100040,Aditya Birla Sun Life AMC Limited,Birla Income Plus-Institutional (Dividend),,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Institutional,IDCW,
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,,Open Ended,Debt,Liquid Fund,Other,Other,
100042,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,Open Ended,Debt,Liquid Fund,Retail,Growth,
100043,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,Open Ended,Debt,Liquid Fund,Institutional,Growth,
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,,Open Ended,Debt,Liquid Fund,Other,Other,
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01KQ2,Open Ended,Debt,Liquid Fund,Other,Other,
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01RU9,Open Ended,Debt,Liquid Fund,Other,Other,
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209KA1LK7,Open Ended,Debt,Liquid Fund,Other,Other,
100049,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,,Open Ended,Income,Income,Institutional,IDCW,Fortnightly
100050,Aditya Birla Sun Life AMC Limited,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),,Open Ended,Debt,Liquid Fund,Institutional,IDCW,Weekly
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund,INF209K01KU4,Open Ended,Debt,Liquid Fund,Other,Other,
100052,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,,Open Ended,Income,Income,Institutional,IDCW,Fortnightly
100053,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,,Open Ended,Income,Income,Institutional,IDCW,Monthly
100054,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,,Open Ended,Income,Income,Regular,IDCW,Quarterly
100055,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,,Open Ended,Income,Income,Regular,Growth,
100056,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,,Open Ended,Income,Income,Regular,IDCW,Annual
100057,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Fund,INF209K01AF6,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100058,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Fund,INF209K01AC3,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100059,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),,Open Ended,Income,Income,Other,IDCW,Annual
100060,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,,Open Ended,Income,Income,Regular,IDCW,Quarterly
100061,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,,Open Ended,Income,Income,Regular,Growth,
100062,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend),,Open Ended,Debt,Gilt Fund,Regular,IDCW,Annual
100063,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund,INF209K01314,Open Ended,Equity,Sectoral/ Thematic,Other,Other,
100064,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund,INF209K01322,Open Ended,Equity,Sectoral/ Thematic,Other,Other,
100065,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,,Open Ended,Income,Income,Regular,IDCW,
100066,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,,Open Ended,Income,Income,Regular,Growth,
100067,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Tax Plan -Regular - IDCW,,Open Ended,Equity,ELSS,Regular,IDCW,
100068,Baroda Mutual Fund,BARODA ELSS 96 - Plan A - IDCW,,Open Ended,Equity,ELSS,Other,IDCW,
100069,Baroda Pioneer Mutual Fund,BARODA PIONEER DIVERSIFIED FUND,,Open Ended,Income,Income,Other,Other,
100077,DSP Mutual Fund,DSP Medium Term Fund,INF740K01565,Open Ended,Income/Debt Orienteds,Medium Term Fund,Other,Other,
100078,DSP Mutual Fund,DSP Medium Term Fund,INF740K01557,Open Ended,Income/Debt Orienteds,Medium Term Fund,Other,Other,
100079,DSP Mutual Fund,DSP Medium Term Fund,INF740K01573,Open Ended,Income/Debt Orienteds,Medium Term Fund,Other,Other,
100080,DSP Mutual Fund,DSP Flexi Cap Fund,INF740K01011,Open Ended,Equity,Flexi Cap Fund,Other,Other,
100081,DSP Mutual Fund,DSP Aggressive Hybrid Fund,INF740K01318,Open Ended,Hybrid,Aggressive Hybrid Fund,Other,Other,
100082,DSP Mutual Fund,DSP Aggressive Hybrid Fund,INF740K01326,Open Ended,Hybrid,Aggressive Hybrid Fund,Other,Other,
100084,DSP Mutual Fund,DSP Gilt Fund,INF740K01615,Open Ended,Debt,Gilt Fund,Other,Other,
100085,DSP Mutual Fund,DSP Gilt Fund,INF740K01607,Open Ended,Debt,Gilt Fund,Other,Other,
100086,DSP Mutual Fund,DSP Gilt Fund,INF740K01623,Open Ended,Debt,Gilt Fund,Other,Other,
100087,DSP Mutual Fund,DSP Money Market Fund,INF740K01714,Open Ended,Income/Debt Orienteds,Money Market Fund,Other,Other,
100088,DSP Mutual Fund,DSP Money Market Fund,INF740K01706,Open Ended,Income/Debt Orienteds,Money Market Fund,Other,Other,
100089,DSP Mutual Fund,DSP Money Market Fund,INF740K01722,Open Ended,Income/Debt Orienteds,Money Market Fund,Other,Other,
100090,DSP Mutual Fund,DSP BlackRock Technology.com Fund - Regular Plan - Growth,,Open Ended,Income,Income,Regular,Growth,
100119,HDFC Mutual Fund,HDFC Balanced Advantage Fund,INF179K01830,Open Ended,Hybrid,Dynamic Asset Allocation or Balanced Advantage,Other,Other,
100120,HDFC Mutual Fund,HDFC Balanced Advantage Fund,INF179K01814,Open Ended,Hybrid,Dynamic Asset Allocation or Balanced Advantage,Other,Other,
100121,HDFC Mutual Fund,HDFC Balanced Fund - Dividend Option,,Open Ended,Income,Income,Other,IDCW,
100122,HDFC Mutual Fund,HDFC Balanced Fund - Growth Option,,Open Ended,Income,Income,Other,Growth,
100123,HDFC Mutual Fund,HDFC Medium to Long Term Fund,INF179K01947,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100124,HDFC Mutual Fund,HDFC Medium to Long Term Fund,INF179K01962,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100125,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plan Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Premium,IDCW,
100126,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Premium,IDCW,
100127,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Premium,Growth,
100128,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plan Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Premium,Growth,
100129,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Premium,Growth,
100130,HDFC Asset Management Company Limited,HDFC Income Fund-Premium Plus Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Premium,IDCW,
100136,PRINCIPAL Mutual Fund,Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB,,Open Ended,Income,Income,Other,Other,
100150,PRINCIPAL Mutual Fund,Principal Child Benefit Fund-Super Saver-Future Guard Plan,,Open Ended,Income,Income,Other,Other,
100151,PRINCIPAL Mutual Fund,Principal Retail Equity Savings Fund - Growth Option,,Open Ended,Income,Income,Retail,Growth,
100152,Principal Mutual Fund,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,,Open Ended,Other,Index Funds,Other,IDCW,
100153,Principal Mutual Fund,Principal Nifty 100 Equal Weight Fund-Growth,,Open Ended,Other,Index Funds,Other,Growth,
100154,PRINCIPAL Mutual Fund,Principal Equity Fund-Dividend,,Open Ended,Income,Income,Other,IDCW,
100155,PRINCIPAL Mutual Fund,Principal Equity Fund-Growth,,Open Ended,Income,Income,Other,Growth,
100156,Principal Mutual Fund,Principal Tax Savings Fund,,Open Ended,Equity,ELSS,Other,Other,
100171,quant Mutual Fund,Quant Dynamic Bond-Dividend,,Open Ended,Debt,Dynamic Bond,Other,IDCW,
100172,quant Mutual Fund,Quant Dynamic Bond-Growth,,Open Ended,Debt,Dynamic Bond,Other,Growth,
100173,quant Mutual Fund,Quant Dynamic Bond-Bonus,,Open Ended,Debt,Dynamic Bond,Other,Bonus,
100174,quant Mutual Fund,Quant ELSS Tax Saver Fund,INF966L01119,Open Ended,Equity,ELSS,Other,Other,
100175,quant Mutual Fund,Quant ELSS Tax Saver Fund,INF966L01135,Open Ended,Equity,ELSS,Other,Other,
100176,quant Mutual Fund,Quant Small Cap Fund,INF206A01022,Open Ended,Equity,Small Cap Fund,Other,Other,
100177,quant Mutual Fund,Quant Small Cap Fund,INF966L01AA0,Open Ended,Equity,Small Cap Fund,Other,Other,
100178,ING Mutual Fund,ING Income Fund-Regular Plan -Dividend Option (Quarterly),,Open Ended,Income,Income,Regular,IDCW,Quarterly
100179,ING Mutual Fund,ING Income Fund-Regular Plan -Dividend Option (Half Yearly),,Open Ended,Income,Income,Regular,IDCW,Annual
100180,ING Mutual Fund,ING Income Fund- Regular Plan - Dividend Option (Annual),,Open Ended,Income,Income,Regular,IDCW,Annual
100181,ING Mutual Fund,ING Income Fund-Regular Plan -Growth Option,,Open Ended,Income,Income,Regular,Growth,
100182,ING Mutual Fund,ING Income Fund-Institutional Plan - Dividend Option (Half Yearly),,Open Ended,Income,Income,Institutional,IDCW,Annual
100183,ING Mutual Fund,ING Income Fund-Institutional Plan - Dividend Option (Quarterly),,Open Ended,Income,Income,Institutional,IDCW,Quarterly
100184,ING Mutual Fund,ING Income Fund-Institutional Plan -Dividend Option (Annual),,Open Ended,Income,Income,Institutional,IDCW,Annual
100185,ING Mutual Fund,ING Income Fund-Bonus Option,,Open Ended,Income,Income,Other,Bonus,
100186,ING Mutual Fund,ING Income Fund-Institutional Bonus Option,,Open Ended,Income,Income,Institutional,Bonus,
100187,ING Mutual Fund,ING Income Fund-Institutional Plan - Growth Option,,Open Ended,Income,Income,Institutional,Growth,
100188,ING Mutual Fund,ING Core Equity Fund-Dividend Option,,Open Ended,Income,Income,Other,IDCW,
100189,ING Mutual Fund,ING Core Equity Fund-Growth Option,,Open Ended,Income,Income,Other,Growth,
100190,ING Mutual Fund,ING Liquid Fund-Regular Growth Option,,Open Ended,Income,Income,Regular,Growth,
100191,ING Mutual Fund,ING Liquid Fund-Regular Weekly Dividend Option,,Open Ended,Income,Income,Regular,IDCW,Weekly
100192,ING Mutual Fund,ING Liquid Fund-Regular Daily Dividend Option,,Open Ended,Income,Income,Regular,IDCW,Daily
100194,ING Mutual Fund,ING Liquid Fund-Auto Sweep Growth Option,,Open Ended,Income,Income,Other,Growth,
100195,ING Mutual Fund,ING Liquid Fund-Auto Sweep Weekly Dividend Option,,Open Ended,Income,Income,Other,IDCW,Weekly
100196,ING Mutual Fund,ING Liquid Fund-Institutional Growth Option,,Open Ended,Income,Income,Institutional,Growth,
100197,ING Mutual Fund,ING Liquid Fund-Institutional Weekly Dividend Option,,Open Ended,Income,Income,Institutional,IDCW,Weekly
100198,ING Mutual Fund,ING Liquid Fund-Institutional Daily Dividend Option,,Open Ended,Income,Income,Institutional,IDCW,Daily
100199,ING Mutual Fund,ING Liquid Fund-Super Institutional Growth Option,,Open Ended,Income,Income,Institutional,Growth,
100200,ING Mutual Fund,ING Liquid Fund-Super Institutional Daily Dividend Option,,Open Ended,Income,Income,Institutional,IDCW,Daily
100201,ING Mutual Fund,ING Liquid Fund-Super Institutional Weekly Dividend Option,,Open Ended,Income,Income,Institutional,IDCW,Weekly
100202,ING Mutual Fund,ING Balanced Fund-Dividend Option,,Open Ended,Income,Income,Other,IDCW,
100203,ING Mutual Fund,ING Balanced Fund-Growth Option,,Open Ended,Income,Income,Other,Growth,
100218,JM Financial Mutual Fund,JM Large Cap Fund,INF192K01585,Open Ended,Equitys,Large Cap Fund,Other,Other,
100219,JM Financial Mutual Fund,JM Large Cap Fund,INF192K01601,Open Ended,Equitys,Large Cap Fund,Other,Other,
100220,JM Financial Mutual Fund,JM Aggressive Hybrid Fund,INF192K01528,Open Ended,Hybrids,Aggressive Hybrid Fund,Other,Other,
100221,JM Financial Mutual Fund,JM Aggressive Hybrid Fund,INF192K01544,Open Ended,Hybrids,Aggressive Hybrid Fund,Other,Other,
100222,JM Financial Mutual Fund,JM Medium to Long Term Fund,INF192K01999,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100223,JM Financial Mutual Fund,JM Medium to Long Term Fund,INF192K01AB3,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100224,JM Financial Asset Management Limited,JM Income Fund-Serial Plan 2004 Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100225,JM Financial Asset Management Limited,JM Income Fund-Serial Plan 2003 Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100226,JM Financial Asset Management Limited,JM Income Fund-JM Income Fund - Serial Plan 2004 Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100227,JM Financial Asset Management Limited,JM Income Fund-Serial Plan 2004 Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100228,JM Financial Asset Management Limited,JM Income Fund-Serial Plan 2004 Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100233,JM Financial Mutual Fund,JM Liquid Fund,INF192K01841,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,Other,
100234,JM Financial Mutual Fund,JM Liquid Fund,INF192K01882,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,Other,
100235,JM Financial Asset Management Limited,JM High Liquidity Fund-Serial Plan 01,,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,Other,
100236,JM Financial Asset Management Limited,JM High Liquidity Fund-Serial Plan 02,,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,Other,
100239,JM Financial Asset Management Limited,JM High Liquidity Fund-Monthly Dividend,,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,IDCW,Monthly
100240,JM Financial Asset Management Limited,JM High Liquidity Fund-Institutional Plan - Monthly Dividend,,Open Ended,Income/Debt Orienteds,Liquid Fund,Institutional,IDCW,Monthly
100242,JM Financial Asset Management Limited,JM High Liquidity Fund-Montly Dividend,,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,IDCW,
100243,JM Financial Mutual Fund,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option,,Open Ended,Income,Income,Premium,IDCW,Daily
100244,JM Financial Mutual Fund,JM Liquid Fund,INF192K01866,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,Other,
100247,JM Financial Mutual Fund,JM Liquid Fund,INF192K01981,Open Ended,Income/Debt Orienteds,Liquid Fund,Other,Other,
100248,JM Financial Asset Management Limited,JM G-Sec Fund-Short Term Plan,,Open Ended,Debt,Gilt Fund,Other,Other,
100249,JM Financial Mutual Fund,JM G-Sec Fund - Quarterly Dividend Option,,Open Ended,Debt,Gilt Fund,Other,IDCW,Quarterly
100250,JM Financial Mutual Fund,JM G-Sec Fund - Growth Option,,Open Ended,Debt,Gilt Fund,Other,Growth,
100251,JM Financial Mutual Fund,JM G-Sec Fund-PF Plan - Growth Plan,,Open Ended,Income,Income,Other,Growth,
100252,JM Financial Mutual Fund,JM G-Sec Fund-PF Plan -Dividend Plan,,Open Ended,Income,Income,Other,IDCW,
100253,JM Financial Mutual Fund,JM G-Sec Fund - Bonus Option - Principal Units,,Open Ended,Debt,Gilt Fund,Other,Bonus,
100254,JM Financial Mutual Fund,JM Value Fund,INF137A01037,Open Ended,Equitys,Value Fund,Other,Other,
100261,Kotak Mahindra Mutual Fund,Kotak Gilt-Savings-Monthly Dividend,,Open Ended,Income,Income,Other,IDCW,Monthly
100262,Kotak Mahindra Mutual Fund,Kotak Gilt-Savings-Growth,,Open Ended,Income,Income,Other,Growth,
100263,Kotak Mahindra Mutual Fund,Kotak Gilt-Savings-Annual Dividend,,Open Ended,Income,Income,Other,IDCW,Annual
100264,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FK1,Open Ended,Debt,Gilt Fund,Other,Other,
100265,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FI5,Open Ended,Debt,Gilt Fund,Other,Other,
100266,Kotak Mahindra Asset Management Company Limited.,Kotak Gilt-Serial 2001-Dividend,,Open Ended,Debt,Gilt Fund,Other,IDCW,
100267,Kotak Mahindra Asset Management Company Limited.,Kotak Gilt-Serial 2001-Growth,,Open Ended,Debt,Gilt Fund,Other,Growth,
100268,Kotak Mahindra Asset Management Company Limited.,Kotak Gilt-Serial 2003-Dividend,,Open Ended,Debt,Gilt Fund,Other,IDCW,
100269,Kotak Mahindra Asset Management Company Limited.,Kotak Gilt-Serial 2003-Growth,,Open Ended,Debt,Gilt Fund,Other,Growth,
100274,Kotak Mahindra Asset Management Company Limited.,Kotak Gilt-Serial 2011-Dividend,,Open Ended,Debt,Gilt Fund,Other,IDCW,
100278,Kotak Mahindra Mutual Fund,Kotak Gilt-Serial 2019-Dividend,,Open Ended,Income,Income,Other,IDCW,
100279,Kotak Mahindra Mutual Fund,Kotak Gilt-Serial 2019-Growth,,Open Ended,Income,Income,Other,Growth,
100280,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FM7,Open Ended,Debt,Gilt Fund,Other,Other,
100281,Kotak Mahindra Mutual Fund,Kotak Gilt Fund,INF174K01FL9,Open Ended,Debt,Gilt Fund,Other,Other,
100282,HDFC Mutual Fund,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Growth,,Close Ended,Income,Income,Institutional,Growth,
100283,HDFC Mutual Fund,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Dividend,,Close Ended,Income,Income,Institutional,IDCW,
100284,HDFC Mutual Fund,HDFC FMP 3M MAY 2006(1)-RETAIL-Growth,,Close Ended,Income,Income,Retail,Growth,
100285,HDFC Mutual Fund,HDFC FMP 3M MAY 2006(1)-RETAIL-Dividend,,Close Ended,Income,Income,Retail,IDCW,
100286,Kotak Mahindra Mutual Fund,Kotak Aggressive Hybrid Fund,INF174K01450,Open Ended,Hybrid,Aggressive Hybrid Fund,Other,Other,
100289,Kotak Mahindra Mutual Fund,Kotak Tech,,Open Ended,Income,Income,Other,Other,
100290,Kotak Mahindra Mutual Fund,Kotak MNC,,Open Ended,Income,Income,Other,Other,
100291,Kotak Mahindra Mutual Fund,Kotak Medium to Long Term Fund,INF174K01EK4,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100292,Kotak Mahindra Mutual Fund,Kotak Medium to Long Term Fund,INF174K01EJ6,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100293,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Deposit-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100294,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Deposit-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100295,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Deposit-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100296,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Deposit-Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100297,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Deposit-Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100298,Kotak Mahindra Mutual Fund,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,,Open Ended,Debt,Medium to Long Duration Fund,Regular,IDCW,
100299,Kotak Mahindra Mutual Fund,Kotak Medium to Long Term Fund,INF174K01EM0,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100300,Kotak Mahindra Mutual Fund,Kotak Medium to Long Term Fund,INF174K01EQ1,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100302,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2001 B-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100303,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2001 B-Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100304,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2002 A-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100305,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2002 A-Growth,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Growth,
100306,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2005 A-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100307,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2005 A-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100308,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2005 A-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100309,Kotak Mahindra Asset Management Company Limited.,Kotak Bond-Serial 2005-Dividend,,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,IDCW,
100312,LIC Mutual Fund,LIC MF Flexi Cap Fund,INF767K01063,Open Ended,Equity,Flexi Cap Fund,Other,Other,
100313,LIC Mutual Fund,LIC MF Flexi Cap Fund,INF767K01071,Open Ended,Equity,Flexi Cap Fund,Other,Other,
100314,LIC Mutual Fund,LIC MF Medium to Long Term Fund,INF767K01907,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100315,LIC Mutual Fund,LIC MF Medium to Long Term Fund,INF767K01923,Open Ended,Income/Debt Orienteds,Medium to Long Term Fund,Other,Other,
100316,LIC Mutual Fund,LIC MF Gilt Fund,INF767K01683,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100317,LIC Mutual Fund,LIC MF Gilt Fund,INF767K01709,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100318,LIC Mutual Fund,LIC MF Gilt Fund,INF767K01717,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100319,LIC Mutual Fund,LIC MF Gilt Fund,INF767K01733,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100320,LIC Mutual Fund Asset Management Limited,LIC MF Govt Securities Fund-PF Plan,,Open Ended,Income/Debt Orienteds,Gilt Fund,Other,Other,
100321,LIC Mutual Fund,LIC MF Aggressive Hybrid Fund,INF767K01022,Open Ended,Hybrid,Aggressive Hybrid Fund,Other,Other,
100322,LIC Mutual Fund Asset Management Limited,LICMF Balanced Fund-Growth,,Open Ended,Hybrid,Aggressive Hybrid Fund,Other,Growth,
100323,LIC Mutual Fund,LIC MF Aggressive Hybrid Fund,INF767K01030,Open Ended,Hybrid,Aggressive Hybrid Fund,Other,Other,
100325,LIC Mutual Fund,LIC MF Unit Linked Insurance Scheme (ULIS),,Open Ended,Equity,ELSS,Other,Other,
100332,LIC Mutual Fund,LIC MF Large Cap Fund,INF767K01097,Open Ended,Equity,Large Cap Fund,Other,Other,
100337,Sahara Mutual Fund,SaharaTax Gain-Dividend,,Open Ended,ELSS,ELSS,Other,IDCW,
100338,Sahara Mutual Fund,SaharaTax Gain-Growth,,Open Ended,ELSS,ELSS,Other,Growth,
100347,Morgan Stanley Mutual Fund,Morgan Stanley Growth Fund- Regular Growth Plan,,Open Ended,Income,Income,Regular,Growth,
100348,ICICI Prudential Mutual Fund,ICICI Prudential Large & Mid Cap Fund,INF109K01EQ7,Open Ended,Equity,Large & Mid Cap Fund,Other,Other,
100349,ICICI Prudential Mutual Fund,ICICI Prudential Large & Mid Cap Fund,INF109K01431,Open Ended,Equity,Large & Mid Cap Fund,Other,Other,
100350,ICICI Prudential Mutual Fund,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,,Open Ended,Income,Income,Institutional,Growth,
100351,ICICI Prudential Mutual Fund,ICICI Prudential FMCG Fund,INF109K01EO2,Open Ended,Equity,Sectoral/ Thematic,Other,Other,
