SchemeCode,AMC,SchemeName,ISIN,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
115605,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Short Term FMP- Series 19-Growth,,Close Ended,Income,Income,Other,Growth,
115606,L&T Mutual Fund,L&T FMP - IV (July24M A) - Dividend (Payout),,Close Ended,Income,Income,Other,IDCW,
115607,L&T Mutual Fund,L&T FMP - IV (July24M A) - Growth,,Close Ended,Income,Income,Other,Growth,
115608,ICICI Prudential Mutual Fund,ICICI Prudential Multiple Yield Fund-Plan C Cumulative,,Close Ended,Income,Income,Other,Other,
115609,ICICI Prudential Mutual Fund,ICICI Prudential Multiple Yield Fund-Plan C Dividend,,Close Ended,Income,Income,Other,IDCW,
115610,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series XX - Plan A (JM FMF - XX - A) - Regular plan - Dividend option,,Close Ended,Income,Income,Regular,IDCW,
115611,JM Financial Mutual Fund,JM Fixed Maturity Fund - Series XX - Plan A (JM FMF - XX - A) - Regular plan - Growth option,,Close Ended,Income,Income,Regular,Growth,
115612,Axis Mutual Fund,Axis Hybrid Fund - Series 1 - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115613,Axis Mutual Fund,Axis Hybrid Fund - Series 1 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115614,UTI Mutual Fund,UTI-FTIF Sr. X Plan II (369 Days) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115615,UTI Mutual Fund,UTI-FTIF Sr. X Plan II (369 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115616,DHFL Pramerica Mutual Fund,DHFL Pramerica Treasury Advantage Fund - Fortnightly Dividend Opt,,Open Ended,Income,Income,Other,IDCW,Fortnightly
115617,IDFC Mutual Fund,IDFC FMP - YS - 45 -Dividend,,Close Ended,Income,Income,Other,IDCW,
115618,IDFC Mutual Fund,IDFC FMP - YS - 45 -Growth,,Close Ended,Income,Income,Other,Growth,
115619,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BI- Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115620,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BI- Growth Option,,Close Ended,Income,Income,Other,Growth,
115621,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BE- Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115622,Sundaram Mutual Fund,Sundaram Fixed Term Plan -BE- Growth Option,,Close Ended,Income,Income,Other,Growth,
115623,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 2 Years (Series 2) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115624,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 2 Years (Series 2) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115625,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 3 Years (Series 4) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115626,Sundaram Mutual Fund,Sundaram Capital Protection Oriented Fund 3 Years (Series 4) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115627,Kotak Mahindra Mutual Fund,Kotak FMP Series 55 (24M) - Growth,,Close Ended,Income,Income,Other,Growth,
115628,Kotak Mahindra Mutual Fund,Kotak FMP Series 55 (24M) - Dividend,,Close Ended,Income,Income,Other,IDCW,
115631,Edelweiss Mutual Fund,Edelweiss Emerging Leaders Fund - Growth,,Open Ended,Income,Income,Other,Growth,
115632,Edelweiss Mutual Fund,Edelweiss Emerging Leaders Fund - Dividend,,Open Ended,Income,Income,Other,IDCW,
115633,HSBC Mutual Fund,HSBC Fixed Term Series 81-Growth,,Close Ended,Income,Income,Other,Growth,
115634,HSBC Mutual Fund,HSBC Fixed Term Series 81-Dividend,,Close Ended,Income,Income,Other,IDCW,
115635,DSP Mutual Fund,DSP BlackRock FMP - 6M - Series 10 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115636,DSP Mutual Fund,DSP BlackRock FMP - 6M - Series 10 - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115637,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan-Series DJ-Dividend,,Close Ended,Income,Income,Other,IDCW,
115638,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan-Series DJ-Growth,,Close Ended,Income,Income,Other,Growth,
115641,L&T Mutual Fund,L&T FMP - IV (August91D A) - Dividend (Payout),,Close Ended,Income,Income,Other,IDCW,
115642,L&T Mutual Fund,L&T FMP - IV (August91D A) - Growth,,Close Ended,Income,Income,Other,Growth,
115643,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan-Series DK-Growth,,Close Ended,Income,Income,Other,Growth,
115644,Aditya Birla Sun Life Mutual Fund,Birla Sun Life Fixed Term Plan-Series DK-Dividend,,Close Ended,Income,Income,Other,IDCW,
115645,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 59 - 1 Year Plan B Cumulative,,Close Ended,Income,Income,Other,Other,
115646,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 59 - 1 Year Plan B Dividend,,Close Ended,Income,Income,Other,IDCW,
115647,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 24 - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115648,Reliance Mutual Fund,Reliance Fixed Horizon Fund - XX - Series 24 - Growth Option,,Close Ended,Income,Income,Other,Growth,
115649,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 57 - 1 Year Plan D - Cumulative,,Close Ended,Income,Income,Other,Other,
115650,ICICI Prudential Mutual Fund,ICICI Prudential Fixed Maturity Plan - Series 57 - 1 Year Plan D - Dividend,,Close Ended,Income,Income,Other,IDCW,
115651,HDFC Mutual Fund,HDFC FMP 13M August 2011 (1) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115652,HDFC Mutual Fund,HDFC FMP 13M August 2011 (1) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115653,HDFC Mutual Fund,HDFC FMP 13M August 2011 (1) - Quaterly Dividend Option,,Close Ended,Income,Income,Other,IDCW,
115654,Invesco Mutual Fund,Religare Fixed Maturity Plan - Series VIII - Plan F (369 Days) - Dividend Payout Option,,Close Ended,Income,Income,Other,IDCW,
115655,Invesco Mutual Fund,Religare Fixed Maturity Plan - Series VIII - Plan F (369 Days) - Growth Option,,Close Ended,Income,Income,Other,Growth,
115656,IDFC Mutual Fund,IDFC FMP - YS 46 -Growth,,Close Ended,Income,Income,Other,Growth,
115657,IDFC Mutual Fund,IDFC FMP - YS 46 -Dividend,,Close Ended,Income,Income,Other,IDCW,
115658,UTI Mutual Fund,UTI-FTIF Sr. X Plan III (370 Days) - Dividend Option,,Close Ended,Income,Income,Other,IDCW,
