Date,NAV
2025-04-22,1000.17240
2025-04-23,1000.34480
2025-04-24,1000.51720
2025-04-25,1000.68970
2025-04-27,1001.03450
2025-04-28,1001.20690
2025-04-29,1001.29310
2025-04-30,1001.46550
2025-05-01,1001.63790
2025-05-02,1001.81030
2025-05-04,1002.15520
2025-05-05,1002.41380
2025-05-06,1002.58620
2025-05-07,1002.75860
2025-05-08,1002.93100
2025-05-11,1003.44830
2025-05-12,1003.62070
2025-05-13,1003.70690
2025-05-14,1003.87930
2025-05-15,1003.96550
2025-05-16,1004.13790
2025-05-18,1004.31030
2025-05-19,1004.39660
2025-05-20,1004.48280
2025-05-21,1004.56900
2025-05-22,1004.74140
2025-05-25,1005.00000
2025-05-26,1005.17240
2025-05-27,1005.34480
2025-05-28,1005.51720
2025-05-29,1005.68970
2025-05-30,1005.86210
2025-06-01,1006.20690
2025-06-02,1006.46550
2025-06-03,1006.55170
2025-06-04,1006.63790
2025-06-05,1006.81030
2025-06-06,1006.89660
2025-06-08,1007.06900
2025-06-09,1007.24140
2025-06-10,1007.41380
2025-06-11,1007.58620
2025-06-12,1007.75860
2025-06-13,1007.93100
2025-06-15,1008.27590
2025-06-16,1008.36210
2025-06-17,1008.44830
2025-06-18,1008.53450
2025-06-19,1008.62070
2025-06-20,1008.70690
2025-06-22,1008.87930
2025-06-23,1008.96550
2025-06-24,1009.05170
2025-06-25,1009.13790
2025-06-26,1009.22410
2025-06-27,1009.39660
2025-06-29,1009.74140
2025-06-30,1009.91380
2025-07-01,1010.08620
2025-07-02,1010.17240
2025-07-03,1010.34480
2025-07-04,1010.43100
2025-07-06,1010.60340
2025-07-07,1010.68970
2025-07-08,1010.77590
2025-07-09,1010.86210
2025-07-10,1011.03450
2025-07-11,1011.12070
2025-07-13,1011.29310
2025-07-14,1011.55170
2025-07-15,1011.72410
2025-07-16,1011.89660
2025-07-17,1011.98280
2025-07-18,1012.15520
2025-07-20,1012.50000
2025-07-21,1012.67240
2025-07-22,1012.75860
2025-07-23,1012.93100
2025-07-24,1013.10340
2025-07-25,1013.27590
2025-07-27,1013.62070
2025-07-28,1013.79310
2025-07-29,1013.87930
2025-07-30,1013.96550
2025-07-31,1014.13790
2025-08-01,1014.22410
2025-08-03,1014.39660
2025-08-04,1014.56900
2025-08-05,1014.65520
2025-08-06,1014.74140
2025-08-07,1014.82760
2025-08-08,1015.00000
2025-08-10,1015.34480
2025-08-11,1015.43100
2025-08-12,1015.60340
2025-08-13,1015.77590
2025-08-14,1015.94830
2025-08-17,1016.46550
2025-08-18,1016.55170
2025-08-19,1016.72410
2025-08-20,1016.81030
2025-08-21,1016.98280
2025-08-22,1017.06900
2025-08-24,1017.41380
2025-08-25,1017.50000
2025-08-26,1017.67240
2025-08-27,1017.84480
2025-08-28,1017.93100
2025-08-29,1018.10340
2025-08-31,1018.44830
2025-09-01,1018.53450
2025-09-02,1018.70690
2025-09-03,1018.87930
2025-09-04,1019.05170
2025-09-05,1019.22410
2025-09-07,1019.56900
2025-09-08,1019.65520
2025-09-09,1019.82760
2025-09-10,1020.00000
2025-09-11,1020.08620
2025-09-12,1020.25860
2025-09-14,1020.60340
2025-09-15,1020.68970
2025-09-16,1020.77590
2025-09-17,1020.94830
2025-09-18,1021.20690
2025-09-19,1021.37930
2025-09-21,1021.72410
2025-09-22,1021.81030
2025-09-23,1021.98280
2025-09-24,1022.15520
2025-09-25,1022.32760
2025-09-26,1022.41380
2025-09-28,1022.58620
2025-09-30,1022.75860
2025-10-01,1022.93100
2025-10-02,1023.10340
2025-10-03,1023.27590
2025-10-05,1023.44830
2025-10-06,1023.62070
2025-10-07,1023.79310
2025-10-08,1023.87930
2025-10-09,1024.05170
2025-10-10,1024.22410
2025-10-12,1024.56900
2025-10-13,1024.74140
2025-10-14,1024.91380
2025-10-15,1025.00000
2025-10-16,1025.17240
2025-10-17,1025.25860
2025-10-19,1025.60340
2025-10-20,1025.77590
2025-10-22,1026.12070
2025-10-23,1026.29310
2025-10-24,1026.46550
2025-10-26,1026.81030
2025-10-27,1026.89660
2025-10-28,1027.06900
2025-10-29,1027.24140
2025-10-30,1027.41380
2025-10-31,1027.58620
2025-11-02,1027.93100
2025-11-03,1028.10340
2025-11-05,1028.44830
2025-11-06,1028.62070
2025-11-07,1028.79310
2025-11-09,1029.13790
2025-11-10,1029.31030
2025-11-11,1029.48280
2025-11-12,1029.65520
2025-11-13,1029.82760
2025-11-14,1030.00000
2025-11-16,1030.17240
2025-11-17,1030.34480
2025-11-18,1030.43100
2025-11-19,1030.51720
2025-11-20,1030.68970
2025-11-21,1030.86210
2025-11-23,1031.20690
2025-11-24,1031.37930
2025-11-25,1031.55170
2025-11-26,1031.63790
2025-11-27,1031.72410
2025-11-28,1031.89660
2025-11-30,1032.41380
2025-12-01,1032.50000
2025-12-02,1032.67240
2025-12-03,1032.75860
2025-12-04,1032.93100
2025-12-05,1033.10340
2025-12-07,1033.27590
2025-12-08,1033.44830
2025-12-09,1033.53450
2025-12-10,1033.70690
2025-12-11,1033.79310
2025-12-12,1033.87930
2025-12-14,1034.22410
2025-12-15,1034.39660
2025-12-16,1034.48280
2025-12-17,1034.65520
2025-12-18,1034.74140
2025-12-19,1034.91380
2025-12-21,1035.25860
