Date,NAV
2009-08-31,10.00830
2009-09-01,10.00950
2009-09-02,10.01080
2009-09-03,10.01210
2009-09-04,10.01340
2009-09-07,10.01730
2009-09-08,10.01860
2009-09-09,10.02000
2009-09-10,10.02130
2009-09-11,10.02260
2009-09-14,10.02640
2009-09-15,10.02770
2009-09-16,10.02900
2009-09-17,10.03030
2009-09-18,10.03160
2009-09-22,10.03680
2009-09-23,10.03820
2009-09-24,10.03950
2009-09-25,10.04090
2009-09-29,10.04620
2009-10-01,10.01490
2009-10-05,10.01720
2009-10-06,10.01850
2009-10-07,10.01990
2009-10-08,10.02130
2009-10-09,10.02270
2009-10-12,10.02670
2009-10-14,10.02930
2009-10-15,10.03070
2009-10-16,10.03210
2009-10-20,10.03760
2009-10-21,10.03900
2009-10-22,10.04050
2009-10-23,10.04200
2009-10-26,10.04650
2009-10-27,10.04790
2009-10-28,10.04940
2009-10-29,10.05090
2009-10-30,10.01050
2009-11-03,10.01610
2009-11-04,10.01760
2009-11-05,10.01900
2009-11-06,10.02050
2009-11-09,10.02480
2009-11-10,10.02630
2009-11-11,10.02770
2009-11-12,10.02920
2009-11-13,10.03060
2009-11-16,10.03500
2009-11-17,10.03650
2009-11-18,10.03790
2009-11-19,10.03930
2009-11-20,10.04080
2009-11-23,10.04500
2009-11-24,10.04650
2009-11-25,10.04790
2009-11-26,10.04940
2009-11-27,10.05090
2009-11-30,10.05530
2009-12-01,10.01200
2009-12-02,10.01350
2009-12-03,10.01510
2009-12-04,10.01650
2009-12-07,10.02070
2009-12-08,10.02220
2009-12-09,10.02370
2009-12-10,10.02520
2009-12-11,10.02670
2009-12-14,10.03130
2009-12-15,10.03280
2009-12-16,10.03440
2009-12-17,10.03590
2009-12-18,10.03740
2009-12-21,10.04190
2009-12-22,10.04340
2009-12-23,10.04490
2009-12-24,10.04640
2009-12-29,10.05370
2009-12-30,10.05520
2009-12-31,10.05680
2010-01-01,10.01190
2010-01-04,10.01640
2010-01-05,10.01780
2010-01-06,10.01930
2010-01-07,10.02080
2010-01-08,10.02230
2010-01-11,10.02640
2010-01-12,10.02770
2010-01-13,10.02910
2010-01-14,10.03050
2010-01-15,10.03180
2010-01-18,10.03590
2010-01-19,10.03730
2010-01-20,10.03880
2010-01-21,10.04020
2010-01-22,10.04160
2010-01-25,10.04570
2010-01-27,10.04830
2010-01-28,10.04970
2010-01-29,10.05110
2010-02-01,10.01450
2010-02-02,10.01590
2010-02-03,10.01720
2010-02-04,10.01860
2010-02-05,10.02000
2010-02-08,10.02410
2010-02-09,10.02550
2010-02-10,10.02680
2010-02-11,10.02820
2010-02-15,10.03350
2010-02-16,10.03480
2010-02-17,10.03620
2010-02-18,10.03760
2010-02-19,10.03890
2010-02-22,10.04280
2010-02-23,10.04420
2010-02-24,10.04550
2010-02-25,10.04680
2010-02-26,10.04820
2010-03-02,10.01580
2010-03-03,10.01720
2010-03-04,10.01850
2010-03-05,10.01980
2010-03-08,10.02370
2010-03-09,10.02500
2010-03-10,10.02640
2010-03-11,10.02780
2010-03-12,10.02920
2010-03-15,10.03330
2010-03-17,10.03590
2010-03-18,10.03730
2010-03-19,10.03860
2010-03-22,10.04260
2010-03-23,10.04390
2010-03-25,10.04660
2010-03-26,10.04790
2010-03-29,10.05200
2010-03-30,10.05370
2010-03-31,10.05500
2010-04-05,10.04090
2010-04-06,10.04230
2010-04-07,10.04370
2010-04-08,10.04500
2010-04-09,10.04640
2010-04-12,10.05050
2010-04-13,10.05180
2010-04-15,10.05440
2010-04-16,10.05570
2010-04-19,10.05970
2010-04-20,10.06100
2010-04-21,10.06250
2010-04-22,10.06380
2010-04-23,10.06530
2010-04-26,10.06910
2010-04-27,10.07060
2010-04-28,10.07190
2010-04-29,10.07320
2010-04-30,10.07470
2010-05-03,10.07900
2010-05-04,10.08030
2010-05-05,10.08170
2010-05-06,10.08350
2010-05-07,10.08490
2010-05-10,10.08890
2010-05-11,10.09030
2010-05-12,10.09170
2010-05-13,10.09290
2010-05-14,10.09420
2010-05-17,10.09830
2010-05-18,10.09960
2010-05-19,10.10100
2010-05-20,10.10230
2010-05-21,10.10360
2010-05-24,10.10770
2010-05-25,10.10900
2010-05-26,10.11040
2010-05-28,10.11310
2010-05-31,10.11710
2010-06-01,10.11850
2010-06-02,10.11990
2010-06-03,10.12130
2010-06-04,10.12290
2010-06-07,10.12720
2010-06-08,10.12870
2010-06-09,10.13010
2010-06-10,10.13150
2010-06-11,10.13290
2010-06-14,10.13710
2010-06-15,10.13860
2010-06-16,10.14010
2010-06-17,10.14150
2010-06-18,10.14300
2010-06-21,10.14720
2010-06-22,10.14880
2010-06-23,10.15030
2010-06-24,10.15180
2010-06-25,10.15310
2010-06-28,10.15740
2010-06-29,10.15890
2010-06-30,10.13350
2010-07-02,10.13650
2010-07-05,10.14090
2010-07-06,10.14230
2010-07-07,10.14350
2010-07-08,10.14510
2010-07-09,10.14650
2010-07-12,10.15090
2010-07-13,10.15230
2010-07-14,10.15370
2010-07-15,10.15510
2010-07-16,10.15660
2010-07-19,10.16090
2010-07-20,10.16260
2010-07-21,10.16430
2010-07-22,10.16610
2010-07-23,10.16800
2010-07-26,10.17280
2010-07-27,10.17400
2010-07-28,10.17420
2010-07-29,10.17560
2010-07-30,10.13350
2010-08-02,10.13840
2010-08-03,10.14040
2010-08-04,10.14240
2010-08-05,10.14370
2010-08-06,10.14570
2010-08-09,10.15120
2010-08-10,10.15260
2010-08-11,10.15370
2010-08-12,10.15530
2010-08-13,10.15590
2010-08-16,10.16120
2010-08-17,10.16150
2010-08-18,10.16200
2010-08-20,10.16450
2010-08-23,10.16830
2010-08-24,10.17030
2010-08-25,10.17270
2010-08-26,10.17390
2010-08-27,10.17470
2010-08-30,10.17980
2010-08-31,10.13350
2010-09-01,10.13540
2010-09-02,10.13770
2010-09-03,10.13960
2010-09-06,10.14470
2010-09-07,10.14700
2010-09-08,10.14780
2010-09-09,10.14960
2010-09-13,10.15580
2010-09-14,10.15650
2010-09-15,10.15940
2010-09-16,10.16100
2010-09-17,10.16320
2010-09-20,10.16820
2010-09-21,10.16940
2010-09-22,10.17160
2010-09-23,10.17320
2010-09-24,10.17500
2010-09-27,10.17870
2010-09-28,10.18080
2010-09-29,10.18340
