Date,NAV
2021-07-15,10.00500
2021-07-16,10.00500
2021-07-19,10.01230
2021-07-20,10.01490
2021-07-22,10.01530
2021-07-23,10.01630
2021-07-26,10.02020
2021-07-27,10.01920
2021-07-28,10.01690
2021-07-29,10.01500
2021-07-30,10.01760
2021-08-02,10.02670
2021-08-03,10.02760
2021-08-04,10.03280
2021-08-05,10.03590
2021-08-06,10.01930
2021-08-09,10.02900
2021-08-10,10.02660
2021-08-11,10.02690
2021-08-12,10.03540
2021-08-13,10.04060
2021-08-17,10.05280
2021-08-18,10.06570
2021-08-20,10.06660
2021-08-23,10.07150
2021-08-24,10.07420
2021-08-25,10.07790
2021-08-26,10.07780
2021-08-27,10.08220
2021-08-30,10.09420
2021-08-31,10.09790
2021-09-01,10.10920
2021-09-02,10.11980
2021-09-03,10.12820
2021-09-06,10.13640
2021-09-07,10.12610
2021-09-08,10.12480
2021-09-09,10.13060
2021-09-13,10.12940
2021-09-14,10.13040
2021-09-15,10.14630
2021-09-16,10.14940
2021-09-17,10.15110
2021-09-20,10.16850
2021-09-21,10.17310
2021-09-22,10.17500
2021-09-23,10.17610
2021-09-24,10.16430
2021-09-27,10.16280
2021-09-28,10.16120
2021-09-29,10.16800
2021-09-30,10.16650
2021-10-01,10.15870
2021-10-04,10.16370
2021-10-05,10.15690
2021-10-06,10.15300
2021-10-07,10.15510
2021-10-08,10.14160
2021-10-11,10.13540
2021-10-12,10.13940
2021-10-13,10.15140
2021-10-14,10.15390
2021-10-18,10.13620
2021-10-20,10.14080
2021-10-21,10.15220
2021-10-22,10.15050
2021-10-25,10.15700
2021-10-26,10.15620
2021-10-27,10.16460
2021-10-28,10.16040
2021-10-29,10.15130
2021-11-01,10.15210
2021-11-02,10.15680
2021-11-03,10.16360
2021-11-08,10.19130
2021-11-09,10.20210
2021-11-10,10.19600
2021-11-11,10.18450
2021-11-12,10.18840
2021-11-15,10.20100
2021-11-16,10.19830
2021-11-17,10.20080
2021-11-18,10.21210
2021-11-22,10.21530
2021-11-23,10.20830
2021-11-24,10.20540
2021-11-25,10.20990
2021-11-26,10.22620
2021-11-29,10.22810
2021-11-30,10.23670
2021-12-01,10.22750
2021-12-02,10.23230
2021-12-03,10.22860
2021-12-06,10.23180
2021-12-07,10.22520
2021-12-08,10.23640
2021-12-09,10.23970
2021-12-10,10.23870
2021-12-13,10.24090
2021-12-14,10.24460
2021-12-15,10.24450
2021-12-16,10.24320
2021-12-17,10.23830
2021-12-20,10.23320
2021-12-21,10.22350
2021-12-22,10.22130
2021-12-23,10.22380
2021-12-24,10.22050
2021-12-27,10.22400
2021-12-28,10.22180
2021-12-29,10.22400
2021-12-30,10.22110
2021-12-31,10.22450
2022-01-03,10.22890
2022-01-04,10.21920
2022-01-05,10.21900
2022-01-06,10.21600
2022-01-07,10.21510
2022-01-10,10.20910
2022-01-11,10.21230
2022-01-12,10.21370
2022-01-13,10.22240
2022-01-14,10.22390
2022-01-17,10.21930
2022-01-18,10.21940
2022-01-19,10.22150
2022-01-20,10.22230
2022-01-21,10.22350
2022-01-24,10.22520
2022-01-25,10.22680
2022-01-27,10.21440
2022-01-28,10.21560
2022-01-31,10.22890
2022-02-01,10.20980
2022-02-02,10.20350
2022-02-03,10.20980
2022-02-04,10.20940
2022-02-08,10.21990
2022-02-09,10.22250
2022-02-10,10.24560
2022-02-11,10.25630
2022-02-14,10.26240
2022-02-15,10.26400
2022-02-16,10.26330
2022-02-17,10.26370
2022-02-18,10.26470
2022-02-21,10.26630
2022-02-22,10.26590
2022-02-23,10.26590
2022-02-24,10.26470
2022-02-25,10.26560
2022-02-28,10.26790
2022-03-02,10.26980
2022-03-03,10.27080
2022-03-04,10.27160
2022-03-07,10.27400
2022-03-08,10.27440
2022-03-09,10.27560
2022-03-10,10.27750
2022-03-11,10.27880
2022-03-14,10.28170
2022-03-15,10.28290
2022-03-16,10.28420
2022-03-17,10.28470
2022-03-21,10.28860
2022-03-22,10.28960
2022-03-23,10.29110
2022-03-24,10.29200
2022-03-25,10.29310
2022-03-28,10.29620
2022-03-29,10.29730
2022-03-30,10.29860
2022-03-31,10.30000
2022-04-04,10.30490
2022-04-05,10.30610
2022-04-06,10.30790
2022-04-07,10.30870
2022-04-08,10.30810
2022-04-11,10.31110
2022-04-12,10.31180
2022-04-13,10.31080
2022-04-18,10.31740
2022-04-19,10.32080
2022-04-20,10.32260
2022-04-21,10.32370
2022-04-22,10.32400
2022-04-25,10.32670
2022-04-26,10.32870
2022-04-27,10.32970
2022-04-28,10.33080
2022-04-29,10.33090
2022-05-02,10.33460
2022-05-04,10.33240
2022-05-05,10.33140
2022-05-06,10.33220
2022-05-09,10.33540
2022-05-10,10.33600
2022-05-11,10.33530
2022-05-12,10.33700
2022-05-13,10.33780
2022-05-17,10.34300
2022-05-18,10.34460
2022-05-19,10.34590
2022-05-20,10.34720
2022-05-23,10.35060
2022-05-24,10.35200
2022-05-25,10.35330
2022-05-26,10.35440
2022-05-27,10.35530
2022-05-30,10.35900
2022-05-31,10.36030
2022-06-01,10.36100
2022-06-02,10.36300
2022-06-03,10.36390
2022-06-06,10.36690
2022-06-07,10.36740
2022-06-08,10.36960
2022-06-09,10.37100
2022-06-10,10.37230
2022-06-13,10.37550
2022-06-14,10.37680
2022-06-15,10.37660
2022-06-16,10.37790
2022-06-17,10.37970
2022-06-20,10.38470
2022-06-21,10.38600
2022-06-22,10.38660
2022-06-23,10.38880
2022-06-24,10.39010
2022-06-27,10.39570
2022-06-28,10.39630
2022-06-29,10.39700
2022-06-30,10.40080
2022-07-01,10.40480
2022-07-04,10.41310
2022-07-05,10.41470
2022-07-06,10.42860
2022-07-07,10.42820
2022-07-08,10.42220
2022-07-11,10.42680
2022-07-12,10.42910
2022-07-13,10.43300
2022-07-14,10.43320
2022-07-15,10.43370
2022-07-18,10.43910
2022-07-19,10.43940
2022-07-20,10.44060
2022-07-21,10.44100
2022-07-22,10.44430
2022-07-25,10.45020
2022-07-26,10.45220
2022-07-27,10.45670
2022-07-28,10.46090
2022-07-29,10.46570
2022-08-01,10.48050
2022-08-02,10.49020
2022-08-03,10.48910
2022-08-04,10.50240
2022-08-05,10.48150
2022-08-08,10.48550
2022-08-10,10.49590
2022-08-11,10.50170
2022-08-12,10.50340
2022-08-17,10.51600
2022-08-18,10.51690
2022-08-19,10.51440
2022-08-22,10.51880
2022-08-23,10.51940
2022-08-24,10.52130
2022-08-25,10.52090
2022-08-26,10.52750
2022-08-29,10.53020
2022-08-30,10.53110
2022-09-01,10.53390
2022-09-02,10.53220
2022-09-05,10.53920
2022-09-06,10.54100
2022-09-07,10.53890
2022-09-08,10.54610
2022-09-09,10.54840
2022-09-12,10.55220
2022-09-13,10.55350
2022-09-14,10.55000
2022-09-15,10.54920
2022-09-16,10.53780
2022-09-19,10.53830
2022-09-20,10.53900
2022-09-21,10.54110
2022-09-22,10.53880
2022-09-23,10.53880
2022-09-26,10.54260
2022-09-27,10.54460
2022-09-28,10.54710
2022-09-29,10.54880
2022-09-30,10.55180
2022-10-03,10.55710
2022-10-04,10.56110
2022-10-06,10.55970
2022-10-07,10.55740
2022-10-10,10.56000
2022-10-11,10.56360
2022-10-12,10.56500
2022-10-13,10.56740
2022-10-14,10.56900
2022-10-17,10.57390
2022-10-18,10.57550
2022-10-19,10.57700
2022-10-20,10.57860
2022-10-21,10.58010
2022-10-25,10.58700
