Date,NAV
2019-11-06,10.01400
2019-11-07,10.01600
2019-11-08,10.02900
2019-11-11,10.03400
2019-11-13,10.04200
2019-11-14,10.05900
2019-11-15,10.05400
2019-11-18,10.04900
2019-11-19,10.06300
2019-11-20,10.10500
2019-11-21,10.07700
2019-11-22,10.05300
2019-11-25,10.10900
2019-11-26,10.09500
2019-11-27,10.14100
2019-11-28,10.17300
2019-11-29,10.16000
2019-12-02,10.14500
2019-12-03,10.07900
2019-12-04,10.08300
2019-12-05,10.04700
2019-12-06,10.00500
2019-12-09,10.01500
2019-12-10,9.96700
2019-12-11,9.98900
2019-12-12,10.07000
2019-12-13,10.15600
2019-12-16,10.09700
2019-12-17,10.16000
2019-12-18,10.19800
2019-12-19,10.22400
2019-12-20,10.24900
2019-12-23,10.27100
2019-12-24,10.27600
2019-12-26,10.27600
2019-12-27,10.34700
2019-12-30,10.40300
2019-12-31,10.34100
2020-01-01,10.34400
2020-01-02,10.40800
2020-01-03,10.42800
2020-01-06,10.26000
2020-01-07,10.31200
2020-01-08,10.31400
2020-01-09,10.43900
2020-01-10,10.49000
2020-01-13,10.50900
2020-01-14,10.56600
2020-01-15,10.56900
2020-01-16,10.59400
2020-01-17,10.64300
2020-01-20,10.56400
2020-01-21,10.55200
2020-01-22,10.53200
2020-01-23,10.58200
2020-01-24,10.61100
2020-01-27,10.54900
2020-01-28,10.45100
2020-01-29,10.55200
2020-01-30,10.46700
2020-01-31,10.38600
2020-02-03,10.21200
2020-02-04,10.39900
2020-02-05,10.53300
2020-02-06,10.56100
2020-02-07,10.58500
2020-02-10,10.52700
2020-02-11,10.54600
2020-02-12,10.57600
2020-02-13,10.60000
2020-02-14,10.56700
2020-02-17,10.51700
2020-02-18,10.46400
2020-02-19,10.56500
2020-02-20,10.59500
2020-02-24,10.41000
2020-02-25,10.23100
2020-02-26,10.08000
2020-02-27,10.05400
2020-02-28,9.75400
2020-03-02,9.68400
2020-03-03,9.87500
2020-03-04,9.76000
2020-03-05,9.82100
2020-03-06,9.65900
2020-03-09,9.27600
2020-03-11,9.10500
2020-03-12,8.53700
2020-03-13,8.59700
2020-03-16,8.26300
2020-03-17,7.97400
2020-03-18,7.64800
2020-03-19,7.34400
2020-03-20,7.59100
2020-03-23,6.82100
2020-03-24,6.91800
2020-03-25,7.36000
2020-03-26,7.56000
2020-03-27,7.55500
2020-03-30,7.32400
2020-03-31,7.53600
2020-04-01,7.39300
2020-04-03,7.27000
2020-04-07,7.73000
2020-04-08,7.82400
2020-04-09,8.15900
2020-04-13,8.06300
2020-04-15,8.05700
2020-04-16,8.15000
2020-04-17,8.35800
2020-04-20,8.39900
2020-04-21,8.19200
2020-04-22,8.27700
2020-04-23,8.34100
2020-04-24,8.29500
2020-04-27,8.36800
2020-04-28,8.40900
2020-04-29,8.48200
2020-04-30,8.71500
2020-05-04,8.33100
2020-05-05,8.30900
2020-05-06,8.40400
2020-05-07,8.41300
2020-05-08,8.46500
2020-05-11,8.54900
2020-05-12,8.53200
2020-05-13,8.59600
2020-05-14,8.47500
2020-05-15,8.46400
2020-05-18,8.26500
2020-05-19,8.27900
2020-05-20,8.45000
2020-05-21,8.54200
2020-05-22,8.49000
2020-05-26,8.52100
2020-05-27,8.57400
2020-05-28,8.68600
2020-05-29,8.75100
2020-06-01,9.00400
2020-06-02,9.12300
2020-06-03,9.19800
2020-06-04,9.26500
2020-06-05,9.37800
2020-06-08,9.41300
2020-06-09,9.37200
2020-06-10,9.39100
2020-06-11,9.26400
2020-06-12,9.24400
2020-06-15,9.19500
2020-06-16,9.24600
2020-06-17,9.32100
2020-06-18,9.45100
2020-06-19,9.63000
2020-06-22,9.67700
2020-06-23,9.79200
2020-06-24,9.75700
2020-06-25,9.72400
2020-06-26,9.76400
2020-06-29,9.64700
2020-06-30,9.60000
2020-07-01,9.68500
2020-07-02,9.79800
2020-07-03,9.86800
2020-07-06,10.03500
2020-07-07,10.10900
2020-07-08,10.06700
2020-07-09,10.14800
2020-07-10,10.18000
2020-07-13,10.17900
2020-07-14,10.02600
2020-07-15,9.96400
2020-07-16,10.01000
2020-07-17,10.15100
2020-07-20,10.21300
2020-07-21,10.31700
2020-07-22,10.31200
2020-07-23,10.39600
2020-07-24,10.36300
2020-07-27,10.29300
2020-07-28,10.43500
2020-07-29,10.35000
2020-07-30,10.43000
2020-07-31,10.47400
2020-08-03,10.49300
2020-08-04,10.67100
2020-08-05,10.76800
2020-08-06,10.86600
2020-08-07,10.91100
2020-08-10,10.91200
2020-08-11,10.85100
2020-08-12,10.82000
2020-08-13,10.99300
2020-08-14,10.94700
2020-08-17,10.98800
2020-08-18,11.12500
2020-08-19,11.17000
2020-08-20,11.09800
2020-08-21,11.19500
2020-08-24,11.29000
2020-08-25,11.32400
2020-08-26,11.39600
2020-08-27,11.46100
2020-08-28,11.41100
2020-08-31,11.19000
2020-09-01,11.26500
2020-09-02,11.48100
2020-09-03,11.53900
2020-09-04,11.27400
2020-09-07,11.19000
2020-09-08,11.16000
2020-09-09,11.07100
2020-09-10,11.24600
2020-09-11,11.26700
2020-09-14,11.37300
2020-09-15,11.50300
2020-09-16,11.60500
2020-09-17,11.51200
2020-09-18,11.48700
2020-09-21,11.17900
2020-09-22,11.08300
2020-09-23,11.12400
2020-09-24,10.86500
2020-09-25,11.02000
2020-09-28,11.23200
2020-09-29,11.30100
2020-09-30,11.33300
2020-10-01,11.38700
2020-10-05,11.40700
2020-10-06,11.52000
2020-10-07,11.55500
2020-10-08,11.64400
2020-10-09,11.67200
2020-10-12,11.66600
2020-10-13,11.62200
2020-10-14,11.69000
2020-10-15,11.46600
2020-10-16,11.51600
2020-10-19,11.50200
2020-10-20,11.51400
2020-10-21,11.53700
2020-10-22,11.54300
2020-10-23,11.59000
2020-10-26,11.46000
2020-10-27,11.53000
2020-10-28,11.44200
2020-10-29,11.33900
2020-10-30,11.35700
2020-11-02,11.21500
2020-11-03,11.30700
2020-11-04,11.47200
2020-11-05,11.71900
2020-11-06,11.89100
2020-11-09,12.05400
2020-11-10,12.05300
2020-11-11,11.94100
2020-11-12,12.02600
2020-11-13,12.06000
2020-11-17,12.27900
2020-11-18,12.40400
2020-11-19,12.30700
2020-11-20,12.45700
2020-11-23,12.55800
2020-11-24,12.65700
2020-11-25,12.49700
2020-11-26,12.58900
2020-11-27,12.69900
2020-12-01,12.82200
2020-12-02,12.89700
2020-12-03,13.03500
2020-12-04,13.10600
2020-12-07,13.16500
2020-12-08,13.17700
2020-12-09,13.23200
2020-12-10,13.12300
2020-12-11,13.20100
2020-12-14,13.21200
2020-12-15,13.25300
2020-12-16,13.35900
2020-12-17,13.46000
2020-12-18,13.49300
2020-12-21,13.15700
2020-12-22,13.28600
2020-12-23,13.46300
2020-12-24,13.53900
2020-12-28,13.64900
2020-12-29,13.61500
2020-12-30,13.67400
2020-12-31,13.76400
2021-01-01,13.78300
2021-01-04,13.88100
2021-01-05,13.90400
2021-01-06,13.94800
2021-01-07,13.93800
2021-01-08,14.20100
2021-01-11,14.28000
2021-01-12,14.28300
2021-01-13,14.27100
2021-01-14,14.30400
2021-01-15,14.21500
2021-01-18,14.05600
2021-01-19,14.20100
2021-01-20,14.38000
2021-01-21,14.34000
2021-01-22,14.20400
2021-01-25,14.09000
2021-01-27,13.86200
2021-01-28,13.64400
2021-01-29,13.60500
2021-02-01,13.90900
2021-02-02,14.22500
2021-02-03,14.45100
2021-02-04,14.65000
2021-02-05,14.72400
2021-02-08,14.99400
2021-02-09,15.09800
2021-02-10,15.27600
2021-02-11,15.32300
2021-02-12,15.46900
2021-02-15,15.56000
2021-02-16,15.58800
2021-02-17,15.59700
2021-02-18,15.54500
2021-02-19,15.34100
2021-02-22,15.23000
2021-02-23,15.19500
2021-02-24,15.27000
2021-02-25,15.46900
2021-02-26,15.14900
2021-03-01,15.38100
2021-03-02,15.66700
2021-03-03,15.74900
2021-03-04,15.73600
2021-03-05,15.44700
2021-03-08,15.47800
2021-03-09,15.38300
2021-03-10,15.54500
2021-03-12,15.55300
2021-03-15,15.43500
2021-03-16,15.48100
2021-03-17,15.25600
2021-03-18,15.25200
2021-03-19,15.30200
2021-03-22,15.32900
2021-03-23,15.37700
2021-03-24,15.04400
2021-03-25,14.70800
2021-03-26,14.89000
2021-03-30,15.16300
2021-03-31,15.15900
2021-04-01,15.34900
2021-04-05,15.15600
2021-04-06,15.26900
2021-04-07,15.48000
2021-04-08,15.42800
2021-04-09,15.59900
2021-04-12,15.11200
2021-04-13,15.38200
2021-04-15,15.33800
2021-04-16,15.40300
2021-04-19,15.20400
2021-04-20,15.22800
2021-04-22,15.27000
2021-04-23,15.21900
2021-04-26,15.37000
2021-04-27,15.59000
2021-04-28,15.73700
2021-04-29,15.77100
2021-04-30,15.60200
2021-05-03,15.65900
2021-05-04,15.49300
2021-05-05,15.54500
2021-05-06,15.57300
2021-05-07,15.49400
2021-05-10,15.62800
2021-05-11,15.58600
2021-05-12,15.51700
2021-05-14,15.20000
2021-05-17,15.51600
2021-05-18,15.67700
2021-05-19,15.67900
2021-05-20,15.56800
2021-05-21,15.75000
2021-05-24,15.72600
2021-05-25,15.76000
2021-05-26,15.87100
2021-05-27,15.97600
2021-05-28,16.04100
2021-05-31,16.12900
2021-06-01,16.12400
2021-06-02,16.28600
2021-06-03,16.39300
2021-06-04,16.38400
2021-06-07,16.47900
2021-06-08,16.54600
2021-06-09,16.43100
2021-06-10,16.56600
2021-06-11,16.60100
2021-06-14,16.57900
2021-06-15,16.67300
2021-06-16,16.62600
2021-06-17,16.52700
2021-06-18,16.51300
2021-06-21,16.53100
2021-06-22,16.54400
2021-06-23,16.55700
2021-06-24,16.67000
2021-06-25,16.78100
2021-06-28,16.74000
2021-06-29,16.78200
2021-06-30,16.88800
2021-07-01,16.86500
2021-07-02,16.96400
2021-07-05,17.00500
2021-07-06,17.01500
2021-07-07,17.00300
2021-07-08,16.88300
2021-07-09,16.81000
2021-07-12,16.88200
2021-07-13,16.91800
2021-07-14,16.86500
2021-07-15,16.82600
2021-07-16,16.82600
2021-07-19,16.72000
2021-07-20,16.59200
2021-07-22,16.81100
2021-07-23,16.98100
2021-07-26,17.07400
2021-07-27,17.04900
2021-07-28,16.92200
2021-07-29,17.03500
2021-07-30,17.10100
2021-08-02,17.26400
2021-08-03,17.35800
2021-08-04,17.28600
2021-08-05,17.30900
2021-08-06,17.32400
2021-08-09,17.32400
2021-08-10,17.30100
2021-08-11,17.27000
2021-08-12,17.37100
2021-08-13,17.38700
2021-08-16,17.34700
2021-08-17,17.29500
2021-08-18,17.24000
2021-08-20,17.08400
2021-08-23,17.04100
2021-08-24,17.17800
2021-08-25,17.22900
2021-08-26,17.29700
2021-08-27,17.31600
2021-08-30,17.66900
2021-08-31,17.79000
2021-09-01,17.75400
2021-09-02,17.92100
2021-09-03,18.11200
2021-09-06,18.22200
2021-09-07,18.24000
2021-09-08,18.26000
2021-09-09,18.25800
2021-09-13,18.29500
2021-09-14,18.37300
2021-09-15,18.45400
2021-09-16,18.51400
2021-09-17,18.42600
2021-09-20,18.24300
2021-09-21,18.15000
2021-09-22,18.25100
2021-09-23,18.44900
2021-09-24,18.41100
2021-09-27,18.50000
2021-09-28,18.35500
2021-09-29,18.25000
2021-09-30,18.23400
2021-10-01,18.24300
2021-10-04,18.50600
2021-10-05,18.54600
2021-10-06,18.50900
2021-10-07,18.85400
2021-10-08,19.06200
2021-10-11,19.18600
2021-10-12,19.22200
2021-10-13,19.37200
2021-10-14,19.49800
2021-10-18,19.64100
2021-10-19,19.50000
2021-10-20,19.32500
2021-10-21,19.17400
2021-10-22,19.02000
2021-10-25,18.81000
2021-10-26,19.08600
2021-10-27,19.12400
2021-10-28,18.91100
2021-10-29,18.96500
2021-11-01,19.06600
2021-11-02,19.10300
2021-11-03,19.05400
2021-11-08,19.33100
2021-11-09,19.47300
2021-11-10,19.52500
2021-11-11,19.32900
2021-11-12,19.56900
2021-11-15,19.69300
2021-11-16,19.79500
2021-11-17,19.67000
2021-11-18,19.41700
2021-11-22,18.98500
2021-11-23,19.16900
2021-11-24,19.18900
2021-11-25,19.38200
2021-11-26,18.91100
