Date,NAV
2016-07-04,1000.15940
2016-07-05,1000.32300
2016-07-06,1000.52940
2016-07-07,1000.73720
2016-07-08,1000.90060
2016-07-10,1001.33640
2016-07-11,1001.53740
2016-07-12,1001.73880
2016-07-13,1001.94120
2016-07-14,1002.14140
2016-07-15,1002.34710
2016-07-17,1002.75260
2016-07-18,1002.95560
2016-07-19,1003.15890
2016-07-20,1003.36660
2016-07-21,1003.56710
2016-07-22,1003.15890
2016-07-24,1003.55320
2016-07-25,1003.75840
2016-07-26,1003.96150
2016-07-27,1004.16660
2016-07-28,1004.36920
2016-07-29,1003.15890
2016-07-31,1003.52900
2016-08-01,1003.72510
2016-08-02,1003.93000
2016-08-03,1004.13220
2016-08-04,1004.33060
2016-08-05,1003.15890
2016-08-07,1003.55470
2016-08-08,1003.75080
2016-08-09,1003.95000
2016-08-10,1004.15550
2016-08-11,1004.35410
2016-08-12,1003.15890
2016-08-15,1003.78530
2016-08-16,1003.98410
2016-08-17,1004.18170
2016-08-18,1004.37600
2016-08-19,1003.15890
2016-08-21,1003.54770
2016-08-22,1003.74030
2016-08-23,1003.93300
2016-08-24,1004.12660
2016-08-25,1004.32170
2016-08-26,1003.15890
2016-08-28,1003.55750
2016-08-29,1003.75340
2016-08-30,1003.95100
2016-08-31,1004.13810
2016-09-01,1004.33200
2016-09-02,1003.15890
2016-09-05,1003.75220
2016-09-06,1003.94340
2016-09-07,1004.13410
2016-09-08,1004.32480
2016-09-09,1003.15890
2016-09-11,1003.54110
2016-09-12,1003.73290
2016-09-13,1003.92480
2016-09-14,1004.11580
2016-09-15,1004.30550
2016-09-16,1003.15890
2016-09-18,1003.55900
2016-09-19,1003.74680
2016-09-20,1003.93600
2016-09-21,1004.12600
2016-09-22,1004.31720
2016-09-23,1003.15890
2016-09-25,1003.53780
2016-09-26,1003.73450
2016-09-27,1003.92910
2016-09-28,1004.11940
2016-09-29,1004.31260
2016-09-30,1003.15890
2016-10-02,1003.55600
2016-10-03,1003.77270
2016-10-04,1003.96680
2016-10-05,1004.16340
2016-10-06,1004.35210
