Date,NAV
2026-05-25,10.08320
2026-05-26,10.12300
2026-05-27,9.95620
2026-05-29,9.77430
2026-05-31,9.77430
2026-06-01,9.58480
2026-06-02,9.53680
2026-06-03,9.44470
2026-06-04,9.55120
2026-06-05,9.41820
2026-06-08,9.32670
2026-06-09,9.47600
2026-06-10,9.30410
2026-06-11,9.23280
2026-06-12,9.54950
2026-06-15,9.84310
2026-06-16,9.86660
2026-06-17,9.82880
2026-06-18,9.90730
2026-06-19,9.93040
2026-06-22,9.96320
2026-06-23,9.81810
2026-06-24,9.73840
2026-06-25,9.70410
2026-06-29,9.73310
2026-06-30,9.72180
2026-07-01,9.91250
2026-07-02,9.88000
2026-07-03,9.89350
2026-07-06,9.80280
2026-07-07,9.65450
2026-07-08,9.54480
2026-07-09,9.76460
2026-07-10,9.89290
2026-07-13,9.88810
2026-07-14,9.81930
2026-07-15,9.87320
2026-07-16,9.63710
2026-07-17,9.62410
2026-07-20,9.67480
2026-07-21,9.62260
2026-07-22,9.52310
2026-07-23,9.39790
2026-07-24,9.37410
2026-07-27,9.45870
2026-07-28,9.37610
2026-07-29,9.44850
2026-07-30,9.35290
2026-07-31,9.48660
2026-08-03,9.41090
2026-08-04,9.44060
2026-08-05,9.38660
2026-08-06,9.32260
2026-08-07,9.30300
2026-08-10,9.46510
2026-08-11,9.54020
2026-08-12,9.54510
2026-08-13,9.56080
2026-08-14,9.45530
2026-08-17,9.50680
2026-08-18,9.50200
2026-08-19,9.52270
2026-08-20,9.65230
2026-08-21,9.69360
2026-08-24,9.75440
2026-08-25,9.84620
2026-08-26,9.88910
2026-08-27,9.76870
2026-08-28,9.84820
2026-08-31,9.80810
2026-09-01,9.63940
2026-09-02,9.57070
2026-09-03,9.57890
2026-09-04,9.68960
2026-09-07,9.75770
2026-09-08,9.71000
2026-09-09,9.58930
2026-09-10,9.57180
2026-09-11,9.60410
