SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,SchemeNameCleaned,SchemeMinimumAmount,LaunchDate,ClosureDate
150444,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Financials ex Bank 30 Index Fund Regular Growth,INF247L01BD7,,Open Ended,Other Scheme - Index Funds,Motilal Oswal BSE Financials ex Bank 30 Index Fund,500,14-Jul-2022,22-Jul-2022
150445,Motilal Oswal Asset Management Company Limited,Motilal Oswal BSE Healthcare ETF,INF247L01BB1,,Open Ended,Other Scheme - Other  ETFs,Motilal Oswal BSE Healthcare ETF,500,14-Jul-2022,22-Jul-2022
150447,ICICI Prudential Asset Management Company Limited,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Quarterly IDCW,INF109KC15D9,,Close Ended,Income,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E,5000,22-Jul-2022,
150448,ICICI Prudential Asset Management Company Limited,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Direct Plan - Quarterly IDCW,INF109KC18D3,,Close Ended,Income,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E,5000,22-Jul-2022,
150449,ICICI Prudential Asset Management Company Limited,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Direct Plan - Growth,INF109KC17D5,,Close Ended,Income,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E,5000,22-Jul-2022,
150450,ICICI Prudential Asset Management Company Limited,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Growth,INF109KC14D2,,Close Ended,Income,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E,5000,22-Jul-2022,
150524,ICICI Prudential Asset Management Company Limited,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Half Yearly IDCW,INF109KC16D7,,Close Ended,Income,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E,5000,22-Jul-2022,
150525,ICICI Prudential Asset Management Company Limited,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E - Direct Plan - Half Yearly IDCW,INF109KC19D1,,Close Ended,Income,ICICI Prudential Fixed Maturity Plan - Series 88 - 226 Days Plan E,5000,22-Jul-2022,
150453,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Direct Plan - IDCW,INF109KC12D6,INF109KC13D4,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty 200 Momentum 30 Index Fund,5000,22-Jul-2022,
150454,ICICI Prudential Asset Management Company Limited,ICICI Prudential Nifty 200 Momentum 30 Index Fund - Growth,INF109KC18C5,,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty 200 Momentum 30 Index Fund,5000,22-Jul-2022,
