SchemeCode,AMC,SchemeName,ISIN,ISINdivReinvestment,SchemeType,Category,SchemeNameCleaned,SchemeMinimumAmount,LaunchDate,ClosureDate
150544,JM Financial Asset Management Limited,JM Short Term Fund (Direct) - IDCW,INF192K01MQ6,INF192K01MR4,Open Ended,Income/Debt Oriented Schemes - Short Term Fund,JM Short Term Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,10-Aug-2022,
150545,JM Financial Asset Management Limited,JM Short Term Fund (Direct) - Growth,INF192K01MP8,,Open Ended,Income/Debt Oriented Schemes - Short Term Fund,JM Short Term Fund,Rs. 1000/- and in multiples of Re. 1 thereafter.,10-Aug-2022,
150546,HDFC Asset Management Company Limited,HDFC FMP 1406D August 2022 - Growth Option,INF179KC1DF8,,Close Ended,Income,HDFC FMP 1406D August 2022,5000,17-Aug-2022,24-Aug-2022
150547,HDFC Asset Management Company Limited,HDFC FMP 1406D August 2022 - Growth Option - Direct Plan,INF179KC1DC5,,Close Ended,Income,HDFC FMP 1406D August 2022,5000,17-Aug-2022,24-Aug-2022
150548,HDFC Asset Management Company Limited,HDFC FMP 1406D August 2022 - IDCW Option - Direct Plan,INF179KC1DD3,,Close Ended,Income,HDFC FMP 1406D August 2022,5000,17-Aug-2022,24-Aug-2022
150549,HDFC Asset Management Company Limited,HDFC FMP 1406D August 2022 - Quarterly IDCW Option - Direct Plan,INF179KC1DE1,,Close Ended,Income,HDFC FMP 1406D August 2022,5000,17-Aug-2022,24-Aug-2022
150550,HDFC Asset Management Company Limited,HDFC FMP 1406D August 2022 - IDCW Option,INF179KC1DG6,,Close Ended,Income,HDFC FMP 1406D August 2022,5000,17-Aug-2022,24-Aug-2022
150551,HDFC Asset Management Company Limited,HDFC FMP 1406D August 2022 - Quarterly IDCW Option,INF179KC1DH4,,Close Ended,Income,HDFC FMP 1406D August 2022,5000,17-Aug-2022,24-Aug-2022
150553,Union Asset Management Company Private Limited,Union Retirement Fund - Regular Plan - IDCW Option,INF582M01IN9,,Open Ended,Solution Oriented Scheme - Retirement Fund,Union Retirement Fund,Rs 1000 and in multiples of Rs.1 thereafter.,01-Sep-2022,
150554,Union Asset Management Company Private Limited,Union Retirement Fund - Direct Plan - Growth Option,INF582M01IK5,,Open Ended,Solution Oriented Scheme - Retirement Fund,Union Retirement Fund,Rs 1000 and in multiples of Rs.1 thereafter.,01-Sep-2022,
150555,Union Asset Management Company Private Limited,Union Retirement Fund - Direct Plan - IDCW Option,INF582M01IL3,,Open Ended,Solution Oriented Scheme - Retirement Fund,Union Retirement Fund,Rs 1000 and in multiples of Rs.1 thereafter.,01-Sep-2022,
150552,Union Asset Management Company Private Limited,Union Retirement Fund - Regular Plan - Growth Option,INF582M01IM1,,Open Ended,Solution Oriented Scheme - Retirement Fund,Union Retirement Fund,Rs 1000 and in multiples of Rs.1 thereafter.,01-Sep-2022,
150556,HDFC Asset Management Company Limited,HDFC Silver ETF - Growth Option,INF179KC1DI2,,Open Ended,Other Scheme - Other  ETFs,HDFC Silver ETF,500,18-Aug-2022,26-Aug-2022
